,User Count,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,CPU,Memory,Cache Hits/s,Cache Misses/s,Cache Hit Ratio
User Count,1.0,0.8317273439948776,,-0.608486174965197,-0.6338056379940136,-0.6180020542282668,-0.5525823480472779,-0.2543645344549176,0.0504663995664811,0.2496786868286304,0.5039422009390606,0.7763979713859931,0.7763979713859931,0.7763979713859931,0.5525552788630983,,-0.5136904054373725,-0.43650643889091945,0.04407943123008222,0.7935554593619816,-0.3835467529436181,0.34002489084792437,0.7688194319397685,0.9357725489432311,0.1993830938562453,0.7599651276220236
Requests/s,0.8317273439948776,1.0,,-0.7364848438776698,-0.8018296254884049,-0.8475573250438984,-0.8379240054030352,-0.6819407150765261,-0.40320278128239806,-0.1017508112814141,0.15313320295487157,0.715722062493272,0.715722062493272,0.715722062493272,0.900077241902244,,-0.6651903896283593,-0.7194108933758363,-0.00641059885846468,0.7199578882655391,-0.6998784999235859,0.6897670570982866,0.7607275998753705,0.7338904304601339,-0.08248458142330657,0.7806908098021474
Failures/s,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,-0.608486174965197,-0.7364848438776698,,1.0,0.9253736758165773,0.8436112623105292,0.7881477457026171,0.6224455470841846,0.4648839522548371,0.18030561010365795,-0.07251858740544997,-0.4711101873145991,-0.4711101873145991,-0.4711101873145991,-0.6410020989863608,,0.9919312727520502,0.9092006427492866,0.14989392148514197,-0.4787755029614363,0.7357200131096986,-0.46681014983955016,-0.5738449304654727,-0.6627428992156675,0.17623046671082815,-0.7135928435623163
66%,-0.6338056379940136,-0.8018296254884049,,0.9253736758165773,1.0,0.9549439718356688,0.9057623248973388,0.7435868115595061,0.6061207209217432,0.36308363460069787,0.0878687098743343,-0.39343701581265106,-0.39343701581265106,-0.39343701581265106,-0.7082426856352765,,0.9198322099404437,0.962962991143235,0.0702683808611104,-0.400620881532651,0.8061039085743725,-0.5128621145268599,-0.5396312302157906,-0.6301281204744122,0.10085341940179975,-0.6321829920036413
75%,-0.6180020542282668,-0.8475573250438984,,0.8436112623105292,0.9549439718356688,1.0,0.9816095305640323,0.836128742976209,0.695887349243116,0.472536835568291,0.2022823330738809,-0.348517839294497,-0.348517839294497,-0.348517839294497,-0.7702632297256894,,0.8422091648388476,0.9636556266391849,0.07301479969196341,-0.3547335004364341,0.8482337099583172,-0.5571615096516841,-0.4797937497277716,-0.5792846242675594,0.056784189999728014,-0.5587932011379196
80%,-0.5525823480472779,-0.8379240054030352,,0.7881477457026171,0.9057623248973388,0.9816095305640323,1.0,0.9040231670855681,0.769099077568944,0.5564557303425632,0.3081169287846378,-0.28151141214882247,-0.28151141214882247,-0.28151141214882247,-0.7937050369095088,,0.7888603441657349,0.9533064716544227,0.025684076679894294,-0.28777925061691056,0.8608046505734768,-0.5869313095022224,-0.42375898601939305,-0.510353534471139,0.08150952386026915,-0.4935177430567603
90%,-0.2543645344549176,-0.6819407150765261,,0.6224455470841846,0.7435868115595061,0.836128742976209,0.9040231670855681,1.0,0.9256295765275654,0.7375645235128975,0.5698497385849847,-0.056310739334122985,-0.056310739334122985,-0.056310739334122985,-0.7866286794837046,,0.637207025544917,0.8680330261342637,-0.13881958136538927,-0.061847474644803134,0.8158330739782217,-0.6787153776191654,-0.2484860212705343,-0.22773461702395384,0.24005923227812334,-0.29179346550543217
95%,0.0504663995664811,-0.40320278128239806,,0.4648839522548371,0.6061207209217432,0.695887349243116,0.769099077568944,0.9256295765275654,1.0,0.9073723525731417,0.7991807826965328,0.27508576449053573,0.27508576449053573,0.27508576449053573,-0.5641704028097221,,0.49124410701587223,0.7445361081832919,-0.40483959995403784,0.26962801206420345,0.6042820316407698,-0.5006433696824669,0.05610158003273123,0.06595449570030693,0.16526180463250972,0.021325312094894945
98%,0.2496786868286304,-0.1017508112814141,,0.18030561010365795,0.36308363460069787,0.472536835568291,0.5564557303425632,0.7375645235128975,0.9073723525731417,1.0,0.9503235693280385,0.6032626208052629,0.6032626208052629,0.6032626208052629,-0.2258603428782332,,0.225209004464266,0.5024856089882032,-0.6561137598483872,0.5999524130173709,0.2897760775309352,-0.18677103238076273,0.37355656782804025,0.23878467732545117,-0.036838629805385895,0.36732844419972444
99%,0.5039422009390606,0.15313320295487157,,-0.07251858740544997,0.0878687098743343,0.2022823330738809,0.3081169287846378,0.5698497385849847,0.7991807826965328,0.9503235693280385,1.0,0.7665568050965971,0.7665568050965971,0.7665568050965971,-0.03803799027996394,,-0.02303404911576756,0.25261323149885734,-0.7449961611150662,0.7642962995944125,0.06901201211908377,-0.07655437517718544,0.557103042881812,0.4863725722602955,-0.024084992728689514,0.569834621103843
99.9%,0.7763979713859931,0.715722062493272,,-0.4711101873145991,-0.39343701581265106,-0.348517839294497,-0.28151141214882247,-0.056310739334122985,0.27508576449053573,0.6032626208052629,0.7665568050965971,1.0,1.0,1.0,0.6069195444095052,,-0.41280500752706134,-0.29085597531128565,-0.859970758355807,0.999811375910109,-0.5454422052577333,0.49954931701596256,0.8791747200524016,0.6864932296558163,-0.2096890678247383,0.8912369824230142
